region,parameter,mode,powertrain,year,value,price,range_km,battery_capacity,weight_kg,motor_power,charging_time,sales_volume,co2_saved,energy_efficiency,number_of_seats,distance_traveled,PC1_Car_Specs,PC2_Car_Specs
Australia,EV stock share,Cars,EV,2011,0.000390000001062,36211.0,122.0,82.29208251280427,1745.7660580364704,204.0,6.77,3521.0,171.82,516.39,4.440642228762829,50285.07384116815,0.03075009165842656,0.20645234113211655
Australia,EV sales share,Cars,EV,2011,0.00650000013411,64874.0,145.0,74.0,1802.0,224.0,4.18,730.0,42.34,428.74668551857343,7.0,62975.0,0.6437200562687314,1.0352417916022352
Australia,EV sales,Cars,BEV,2011,49.0,58493.0,142.0,34.0,1369.0,284.0,4.76,3389.0,192.5,239.44,6.0,77778.0,-0.7910520220241971,0.15846471267632029
Australia,EV stock,Cars,BEV,2011,49.0,55087.18952183205,517.0,54.0,1392.0,284.0,10.69,1430.0,295.72,104.45,4.0,55552.0,-0.9548040701040503,-1.391619790924444
Australia,EV stock,Cars,BEV,2012,220.0,70920.0,184.0,82.0,1395.0,294.0,11.57,2442.0,179.73,445.65,7.0,5905.0,0.7415437089147826,0.1650516564672374
Australia,EV sales,Cars,BEV,2012,170.0,35735.0,599.0,73.0,1666.0,166.0,8.46,4447.0,1065.5,121.87,5.0,50285.07831583463,-0.4911467651314432,-1.6890834397272472
Australia,EV sales share,Cars,EV,2012,0.029999999329448,47081.0,156.0,88.0,1171.0,186.2384348282872,4.99,3101.0,193.5,564.1,4.0,27162.0,1.1871360292943436,-0.7689845720560625
Australia,EV stock share,Cars,EV,2012,0.002400000113994,78123.0,463.0,33.0,1244.0,84.0,10.33,1498.6274361973574,307.62,71.27,3.0,67732.0,1.3696675736606592,-0.6099606998358128
Australia,EV stock,Cars,PHEV,2012,80.0,34869.0,515.0,84.0,1250.0,241.0,9.2,591.7380372969037,213.62,174.52207771245287,7.0,30761.0,-0.4415295773865974,-2.3197477455123328
Australia,EV sales,Cars,PHEV,2012,80.0,48828.0,317.0,54.0,1009.0,156.0,5.78,3134.0,397.39,170.35,5.0,94784.0,0.5607891028907522,-1.4696112490965065
Australia,EV sales,Cars,PHEV,2013,100.0,31887.0,288.0,66.0,1075.0,169.0,6.704543926637156,870.0,100.22,229.17,5.0,92882.0,0.09628923618822445,-1.7565773807571052
Australia,EV stock,Cars,PHEV,2013,180.0,48837.0,224.0,42.0,2294.0,165.0,5.66,330.0,29.57,246.33894982314217,3.0,66440.0,-0.7857987181384144,1.4570363014984162
Australia,EV stock share,Cars,EV,2013,0.004600000102073,37193.0,370.0,28.0,1374.0,82.0,6.602702673786253,2814.0,412.1011162059267,75.68,3.0,93075.0,-0.26935850482010343,-1.0960956067491712
Australia,EV sales share,Cars,EV,2013,0.034000001847744,77564.0,339.0,41.0,2288.0,285.0,5.98,2548.0,345.51,120.94,6.0,38683.0,-0.9552177318070202,1.7126792234882557
Australia,EV sales,Cars,BEV,2013,190.0,57706.0,441.0,90.0,1522.0,133.0,5.44,3043.0,536.79,204.08,2.0,50282.49413482401,1.4176390328482589,-0.8316464576935954
Australia,EV stock,Cars,BEV,2013,410.0,54785.0,454.0,70.37076170122037,1749.7796696373196,122.0,2.9,2864.0,514.3154803795526,176.99898866498734,5.0,39476.0,0.6898760257102102,-0.41485312080475123
Australia,EV stock,Cars,BEV,2014,780.0,70891.0,135.0,71.0,1262.0,184.68615068197442,1.58,2372.0,128.09,525.93,7.0,30289.0,1.618223650142409,0.21678828300594705
Australia,EV sales,Cars,BEV,2014,370.0,64191.0,159.0,61.0,2221.0,112.0,10.1,2357.6812753145873,127.84,383.65,4.0,22130.0,0.9114827640471276,1.9291618633192826
Australia,EV sales share,Cars,EV,2014,0.159999996423721,55083.59680026887,169.0,96.01593174233382,1748.052285814848,233.0,5.33,4450.0,300.82,573.96,3.0,64675.0,0.7699098632905564,0.4651764847417333
Australia,EV stock share,Cars,EV,2014,0.014000000432134,45361.0,122.0,83.0,2490.0,262.0,5.24,3831.0,186.95,680.33,3.0,85495.0,-0.754733893292116,1.8747832760108118
Australia,EV stock,Cars,PHEV,2014,1100.0,50913.0,545.0,79.0,1629.0,278.0,11.77,2016.0,439.49,144.95,4.518783157137154,32812.0,-0.6573770978404265,-1.253720765405767
Australia,EV sales,Cars,PHEV,2014,950.0,55078.161019757084,425.80551845865796,93.0,1175.0,171.0,5.65,4694.0,659.04,285.1355285321431,6.0,78075.0,1.370683718178739,-1.5702415697530554
Australia,EV sales,Cars,PHEV,2015,1000.0,41715.0,193.0,44.93081359819102,1884.0,186.5381393218968,4.47,3253.0,251.13,275.49070790752086,2.0,16217.0,-0.78161438363081,0.5437518981603255
